signal_type,filter_ok,count
2b_structure,False,2
2b_structure,True,3
double_breakout,False,3
double_breakout,True,2
false_breakdown,True,15
first_rebound_after_crash,True,2
jumping_creek,False,1
n_breakout,True,1
pattern_breakout,False,4
pattern_breakout,True,3
pullback_confirmation,False,4
pullback_confirmation,True,1
right_shoulder,True,6
selling_climax,False,1
selling_climax,True,1
spring,True,4
strength_emergence,False,8
strength_emergence,True,7
support_resistance_flip,False,5
support_resistance_flip,True,2
