signal_type,symbol,signal_date,confidence_score,trend_ok,location_ok,pattern_ok,volume_ok,entry_price,stop_price,target_price,invalid_reason,risk_tags,factors,base_score,score,name,signal_name,quality_score,quality_bucket,pretty_ok,market_ok,market_score,market_regime,market_positive_index_count,market_up_ratio,market_limit_up_count,market_limit_down_count,market_limit_up_down_ratio,market_index_details,sector_ok,sector_score,industry_name,industry_score,concept_names,concept_scores,sector_band,filter_ok,secondary_signal_types,secondary_signal_names,secondary_signal_count
false_breakdown,300182,2026-03-16,95,True,True,True,True,6.309999942779541,6.150000095367432,9.46,,[],"{'support': 6.28, 'breakdown_date': '2026-03-13', 'reclaim_date': '2026-03-16', 'reclaim_in_time': True, 'support_source': 'swing_low', 'volume_ratio': 13.043704063982604, 'close_in_range': 1.0, 'break_pct': 0.02070062175677844}",85.5,88.5,捷成股份,假诱空,73.0,high,True,True,66.67,neutral,1,0.5497,2,0,2.0,"[{'name': '上证指数', 'close': 4095.45, 'ma20': 4121.8745, 'ma60': 4060.614333333333, 'trend_ok': False}, {'name': '沪深300', 'close': 4669.14, 'ma20': 4685.423, 'ma60': 4677.6196666666665, 'trend_ok': False}, {'name': '创业板指', 'close': 3310.28, 'ma20': 3285.1595, 'ma60': 3273.5275000000006, 'trend_ok': True}]",False,33.17,影视院线,5.89,"['创业板综', '小盘股', '深股通']","[33.17, 32.06, 31.59]",edge_low,True,[],[],0
false_breakdown,002185,2026-03-16,95,True,True,True,True,14.050000190734863,13.40999984741211,15.35,,[],"{'support': 13.87, 'breakdown_date': '2026-03-12', 'reclaim_date': '2026-03-16', 'reclaim_in_time': True, 'support_source': 'swing_low', 'volume_ratio': 16.133135724476976, 'close_in_range': 0.9411765530859765, 'break_pct': 0.03316511554346718}",85.5,88.5,华天科技,假诱空,73.0,high,True,True,66.67,neutral,1,0.5497,2,0,2.0,"[{'name': '上证指数', 'close': 4095.45, 'ma20': 4121.8745, 'ma60': 4060.614333333333, 'trend_ok': False}, {'name': '沪深300', 'close': 4669.14, 'ma20': 4685.423, 'ma60': 4677.6196666666665, 'trend_ok': False}, {'name': '创业板指', 'close': 3310.28, 'ma20': 3285.1595, 'ma60': 3273.5275000000006, 'trend_ok': True}]",False,33.5,电子,29.29,"['西部大开发', '深股通', '氮化镓']","[33.5, 31.59, 31.48]",edge_low,True,[],[],0
false_breakdown,600751,2026-03-16,95,True,True,True,True,4.320000171661377,3.9200000762939453,4.43,,[],"{'support': 4.08, 'breakdown_date': '2026-03-12', 'reclaim_date': '2026-03-16', 'reclaim_in_time': True, 'support_source': 'swing_low', 'volume_ratio': 17.969139869770803, 'close_in_range': 1.0, 'break_pct': 0.03921566757501342}",85.5,88.5,海航科技,假诱空,73.0,high,True,True,66.67,neutral,1,0.5497,2,0,2.0,"[{'name': '上证指数', 'close': 4095.45, 'ma20': 4121.8745, 'ma60': 4060.614333333333, 'trend_ok': False}, {'name': '沪深300', 'close': 4669.14, 'ma20': 4685.423, 'ma60': 4677.6196666666665, 'trend_ok': False}, {'name': '创业板指', 'close': 3310.28, 'ma20': 3285.1595, 'ma60': 3273.5275000000006, 'trend_ok': True}]",False,33.95,交通运输,22.74,"['京津冀', 'AB股', '小盘股']","[33.95, 33.54, 32.06]",edge_low,True,[],[],0
2b_structure,300015,2026-03-16,95,True,True,True,True,10.289999961853027,10.07,11.18,,[],"{'prior_support': 10.13, 'fake_break_low': 10.07, 'breakdown_date': '2026-03-13', 'support_source': 'swing_low', 'reclaim_date': '2026-03-16', 'reclaim_in_time': True, 'volume_ratio': 16.192674158030616}",99.75,104.25,爱尔眼科,2B结构,63.0,high,True,True,66.67,neutral,1,0.5497,2,0,2.0,"[{'name': '上证指数', 'close': 4095.45, 'ma20': 4121.8745, 'ma60': 4060.614333333333, 'trend_ok': False}, {'name': '沪深300', 'close': 4669.14, 'ma20': 4685.423, 'ma60': 4677.6196666666665, 'trend_ok': False}, {'name': '创业板指', 'close': 3310.28, 'ma20': 3285.1595, 'ma60': 3273.5275000000006, 'trend_ok': True}]",False,41.98,医院,41.98,"['医美概念', '养老概念', '医疗器械概念']","[41.38, 33.47, 33.42]",edge_high,True,[],[],0
2b_structure,603169,2026-03-13,95,True,True,True,True,12.8,10.72,12.8,,[],"{'prior_support': 10.8, 'fake_break_low': 10.72, 'breakdown_date': '2026-03-12', 'support_source': 'swing_low', 'reclaim_date': '2026-03-13', 'reclaim_in_time': True, 'volume_ratio': 2.2263529182723416}",99.75,104.25,兰石重装,2B结构,63.0,high,True,True,66.67,neutral,1,0.5497,2,0,2.0,"[{'name': '上证指数', 'close': 4095.45, 'ma20': 4121.8745, 'ma60': 4060.614333333333, 'trend_ok': False}, {'name': '沪深300', 'close': 4669.14, 'ma20': 4685.423, 'ma60': 4677.6196666666665, 'trend_ok': False}, {'name': '创业板指', 'close': 3310.28, 'ma20': 3285.1595, 'ma60': 3273.5275000000006, 'trend_ok': True}]",False,43.9,专用设备,30.73,"['煤化工概念', '核污染防治', '超超临界发电']","[43.9, 39.32, 34.95]",edge_high,True,[],[],0
pattern_breakout,601669,2026-03-13,95,True,True,True,True,7.19,6.54,7.7214285714285715,,[],"{'box_low': 5.44, 'box_high': 6.54, 'width_pct': 0.2022058823529411, 'breakout_pct': 0.09938837920489302, 'prior_below_box': True}",95.0,98.5,中国电建,形态突破,61.0,high,True,True,66.67,neutral,1,0.5497,2,0,2.0,"[{'name': '上证指数', 'close': 4095.45, 'ma20': 4121.8745, 'ma60': 4060.614333333333, 'trend_ok': False}, {'name': '沪深300', 'close': 4669.14, 'ma20': 4685.423, 'ma60': 4677.6196666666665, 'trend_ok': False}, {'name': '创业板指', 'close': 3310.28, 'ma20': 3285.1595, 'ma60': 3273.5275000000006, 'trend_ok': True}]",True,53.5,基建市政工程,53.5,"['工程建设', '长期破净', '东方财富热股']","[43.96, 40.28, 39.26]",strong,True,[],[],0
2b_structure,000021,2026-03-16,95,True,True,True,True,33.1,30.26,35.97,,[],"{'prior_support': 30.58, 'fake_break_low': 30.26, 'breakdown_date': '2026-03-13', 'support_source': 'swing_low', 'reclaim_date': '2026-03-16', 'reclaim_in_time': True, 'volume_ratio': 1.3204779267826734}",99.75,102.75,深科技,2B结构,61.0,high,True,True,66.67,neutral,1,0.5497,2,0,2.0,"[{'name': '上证指数', 'close': 4095.45, 'ma20': 4121.8745, 'ma60': 4060.614333333333, 'trend_ok': False}, {'name': '沪深300', 'close': 4669.14, 'ma20': 4685.423, 'ma60': 4677.6196666666665, 'trend_ok': False}, {'name': '创业板指', 'close': 3310.28, 'ma20': 3285.1595, 'ma60': 3273.5275000000006, 'trend_ok': True}]",False,33.42,消费电子,22.15,"['医疗器械概念', '储能概念', '第三代半导体']","[33.42, 32.9, 32.0]",edge_low,True,[],[],0
spring,002400,2026-03-16,95,True,True,True,True,9.260000228881836,8.930000305175781,12.96,,[],"{'box_low': 9.17, 'volume_ratio': 14.470947504445583}",90.25,93.25,省广集团,箱体弹簧,60.0,high,True,True,66.67,neutral,1,0.5497,2,0,2.0,"[{'name': '上证指数', 'close': 4095.45, 'ma20': 4121.8745, 'ma60': 4060.614333333333, 'trend_ok': False}, {'name': '沪深300', 'close': 4669.14, 'ma20': 4685.423, 'ma60': 4677.6196666666665, 'trend_ok': False}, {'name': '创业板指', 'close': 3310.28, 'ma20': 3285.1595, 'ma60': 3273.5275000000006, 'trend_ok': True}]",False,32.71,传媒,14.34,"['快手概念', '小盘股', '创投']","[32.71, 32.06, 31.89]",edge_low,True,[],[],0
spring,002414,2026-03-16,95,True,True,True,True,14.279999732971191,13.960000038146973,18.62,,[],"{'box_low': 14.2, 'volume_ratio': 14.791195116089595}",90.25,93.25,高德红外,箱体弹簧,60.0,high,True,True,66.67,neutral,1,0.5497,2,0,2.0,"[{'name': '上证指数', 'close': 4095.45, 'ma20': 4121.8745, 'ma60': 4060.614333333333, 'trend_ok': False}, {'name': '沪深300', 'close': 4669.14, 'ma20': 4685.423, 'ma60': 4677.6196666666665, 'trend_ok': False}, {'name': '创业板指', 'close': 3310.28, 'ma20': 3285.1595, 'ma60': 3273.5275000000006, 'trend_ok': True}]",False,33.42,国防军工,14.98,"['医疗器械概念', '深股通', '2025中报预增']","[33.42, 31.59, 31.36]",edge_low,True,[],[],0
spring,603000,2026-03-16,95,True,True,True,True,20.469999313354492,20.1299991607666,28.21,,[],"{'box_low': 20.43, 'volume_ratio': 12.475465861237177}",90.25,93.25,人民网,箱体弹簧,60.0,high,True,True,66.67,neutral,1,0.5497,2,0,2.0,"[{'name': '上证指数', 'close': 4095.45, 'ma20': 4121.8745, 'ma60': 4060.614333333333, 'trend_ok': False}, {'name': '沪深300', 'close': 4669.14, 'ma20': 4685.423, 'ma60': 4677.6196666666665, 'trend_ok': False}, {'name': '创业板指', 'close': 3310.28, 'ma20': 3285.1595, 'ma60': 3273.5275000000006, 'trend_ok': True}]",False,31.89,传媒,14.34,"['创投', '股权激励', '网络游戏']","[31.89, 31.46, 31.32]",edge_low,True,[],[],0
support_resistance_flip,600354,2026-03-16,95,True,True,True,True,7.929999828338623,7.369999885559082,8.342142704554966,,[],"{'flip_level': 7.37, 'recent_low': 7.369999885559082, 'breakout_date': '2026-01-30'}",118.75,123.25,敦煌种业,支撑压力互换,56.0,medium,True,True,66.67,neutral,1,0.5497,2,0,2.0,"[{'name': '上证指数', 'close': 4095.45, 'ma20': 4121.8745, 'ma60': 4060.614333333333, 'trend_ok': False}, {'name': '沪深300', 'close': 4669.14, 'ma20': 4685.423, 'ma60': 4677.6196666666665, 'trend_ok': False}, {'name': '创业板指', 'close': 3310.28, 'ma20': 3285.1595, 'ma60': 3273.5275000000006, 'trend_ok': True}]",False,41.76,种子,22.69,"['供销社概念', '农业种植', '西部大开发']","[41.76, 38.29, 33.5]",edge_high,True,[],[],0
