signal_type,symbol,signal_date,confidence_score,trend_ok,location_ok,pattern_ok,volume_ok,entry_price,stop_price,target_price,invalid_reason,risk_tags,factors,score,name,signal_name,secondary_signal_types,secondary_signal_names,secondary_signal_count
double_breakout,603077,2026-03-12,95,True,True,True,True,3.33,2.74,3.7071428571428573,,[],"{'breakout_level': 3.1, 'recent_high_10': 3.33, 'volume_ratio': 1.793031823260597}",118.75,和邦生物,双突破,[],[],0
double_breakout,000420,2026-03-12,95,True,True,True,True,5.02,4.23,5.428571428571428,,[],"{'breakout_level': 4.83, 'recent_high_10': 5.02, 'volume_ratio': 1.2053650729662473}",118.75,吉林化纤,双突破,[],[],0
double_breakout,601618,2026-03-12,95,True,True,True,True,3.29,3.09,3.462857142857143,,[],"{'breakout_level': 3.26, 'recent_high_10': 3.31, 'volume_ratio': 1.3754161177178144}",118.75,中国中冶,双突破,[],[],0
2b_structure,600868,2026-03-12,95,True,True,True,True,4.33,3.79,4.39,,[],"{'prior_support': 3.92, 'fake_break_low': 3.79, 'breakdown_date': '2026-03-11', 'support_source': 'swing_low', 'reclaim_date': '2026-03-12', 'reclaim_in_time': True, 'volume_ratio': 1.7681844812351681}",114.0,梅雁吉祥,2B结构,[],[],0
jumping_creek,601669,2026-03-13,95,True,True,True,True,7.19,5.84,7.7214285714285715,,[],"{'resistance': 6.65, 'volume_ratio': 3.6487968787219267, 'breakout_pct': 0.081203007518797, 'range_atr_ratio': 1.6182795698924752, 'prior_below_resistance': True}",104.5,中国电建,跳跃小溪,"['n_breakout', 'double_breakout']","['N字突破', '双突破']",2
jumping_creek,300185,2026-03-13,95,True,True,True,True,4.21,3.24,4.5285714285714285,,[],"{'resistance': 3.59, 'volume_ratio': 4.445206608749034, 'breakout_pct': 0.17270194986072426, 'range_atr_ratio': 3.955156950672645, 'prior_below_resistance': True}",104.5,通裕重工,跳跃小溪,['double_breakout'],['双突破'],1
jumping_creek,600227,2026-03-13,95,True,True,True,True,4.37,3.4,5.048571428571429,,[],"{'resistance': 4.28, 'volume_ratio': 2.1480330425204817, 'breakout_pct': 0.021028037383177534, 'range_atr_ratio': 1.2084210526315788, 'prior_below_resistance': True}",104.5,赤天化,跳跃小溪,"['n_breakout', 'double_breakout']","['N字突破', '双突破']",2
false_breakdown,601390,2026-03-13,95,True,True,True,True,5.94,5.78,6.47,,[],"{'support': 5.85, 'breakdown_date': '2026-03-11', 'reclaim_date': '2026-03-13', 'reclaim_in_time': True, 'support_source': 'swing_low', 'volume_ratio': 1.103658187935989}",104.5,中国中铁,假诱空,[],[],0
false_breakdown,600028,2026-03-11,95,True,True,True,True,6.51,6.31,8.11,,[],"{'support': 6.43, 'breakdown_date': '2026-03-11', 'reclaim_date': '2026-03-11', 'reclaim_in_time': True, 'support_source': 'swing_low', 'volume_ratio': 0.9531004572152537}",104.5,中国石化,假诱空,[],[],0
strength_emergence,601985,2026-03-13,95,True,True,True,True,9.24,8.46,9.3,,[],"{'box_low': 8.46, 'box_high': 9.3, 'midline': 8.88, 'width_pct': 0.09929078014184395, 'upper_zone_level': 9.0648, 'close_to_high_pct': 0.006451612903225859, 'closes_above_midline': 5}",99.75,中国核电,强势出现,[],[],0
n_breakout,600726,2026-03-13,95,True,True,True,True,4.27,2.62,4.681428571428571,,[],"{'first_break_date': '2026-02-24', 'pullback_low': 2.62, 'prior_high': 4.27}",90.25,华电能源,N字突破,['double_breakout'],['双突破'],1
selling_climax,002429,2026-03-13,95,True,True,True,True,11.94,10.16,10.498999999999999,,[],"{'climax_date': '2026-03-11', 'volume_ratio': 1.9555182449432245, 'drawdown_from_high_60': 0.13757039420756223}",90.25,兆驰股份,抛售高潮,[],[],0
