symbol,strategy_type,score,market_regime,market_positive_index_count,trigger_timeframe,entry_note,risk_note,daily_price,daily_avg_volume_20,daily_avg_dollar_volume_20,daily_blue_above_yellow,daily_close_above_blue,daily_bottom_recent,daily_breakout_recent,weekly_blue_above_yellow,weekly_close_above_blue,monthly_blue_above_yellow,sector_name,sector_member_count,sector_trend_count,sector_breakout_count,sector_bottom_count,sector_weekly_trend_count,sector_score,sector_resonance_ok
AMAT,weekly_trend_resonance,97.0,risk_off,0,1w,周线趋势走强，日线同步维持右侧结构,周线蓝梯下边缘失守则离场,357.05999755859375,7083884.15,2529231081.8079925,True,True,False,True,True,True,True,semis,15,5,4,1,7,34.0,True
LITE,weekly_trend_resonance,97.0,risk_off,0,1w,周线趋势走强，日线同步维持右侧结构,周线蓝梯下边缘失守则离场,706.3499755859375,6828200.0,4623908131.473493,True,True,False,True,True,True,True,semis,15,5,4,1,7,34.0,True
LRCX,weekly_trend_resonance,97.0,risk_off,0,1w,周线趋势走强，日线同步维持右侧结构,周线蓝梯下边缘失守则离场,228.36000061035156,11087744.1,2495944496.857039,True,True,False,True,True,True,True,semis,15,5,4,1,7,34.0,True
MRVL,weekly_trend_resonance,97.0,risk_off,0,1w,周线趋势走强，日线同步维持右侧结构,周线蓝梯下边缘失守则离场,87.91000366210938,21552614.25,1850539796.037294,True,True,False,False,True,True,True,semis,15,5,4,1,7,34.0,True
VRT,weekly_trend_resonance,97.0,risk_off,0,1w,周线趋势走强，日线同步维持右侧结构,周线蓝梯下边缘失守则离场,255.8800048828125,10860137.6,2793835022.9481535,True,True,False,False,True,True,True,semis,15,5,4,1,7,34.0,True
AMAT,blue_above_yellow_trend_daily,96.0,risk_off,0,1d,日线蓝梯稳定在黄梯之上，价格维持在蓝梯上方,日线蓝梯下边缘失守则离场,357.05999755859375,7083884.15,2529231081.8079925,True,True,False,True,True,True,True,semis,15,5,4,1,7,34.0,True
LITE,blue_above_yellow_trend_daily,96.0,risk_off,0,1d,日线蓝梯稳定在黄梯之上，价格维持在蓝梯上方,日线蓝梯下边缘失守则离场,706.3499755859375,6828200.0,4623908131.473493,True,True,False,True,True,True,True,semis,15,5,4,1,7,34.0,True
LRCX,blue_above_yellow_trend_daily,96.0,risk_off,0,1d,日线蓝梯稳定在黄梯之上，价格维持在蓝梯上方,日线蓝梯下边缘失守则离场,228.36000061035156,11087744.1,2495944496.857039,True,True,False,True,True,True,True,semis,15,5,4,1,7,34.0,True
MRVL,blue_above_yellow_trend_daily,96.0,risk_off,0,1d,日线蓝梯稳定在黄梯之上，价格维持在蓝梯上方,日线蓝梯下边缘失守则离场,87.91000366210938,21552614.25,1850539796.037294,True,True,False,False,True,True,True,semis,15,5,4,1,7,34.0,True
VRT,blue_above_yellow_trend_daily,96.0,risk_off,0,1d,日线蓝梯稳定在黄梯之上，价格维持在蓝梯上方,日线蓝梯下边缘失守则离场,255.8800048828125,10860137.6,2793835022.9481535,True,True,False,False,True,True,True,semis,15,5,4,1,7,34.0,True
